Date,Vendor,Category,Amount,Department
2024-01-05,AWS,Cloud Services,12400.00,Engineering
2024-01-08,Slack,Software Licenses,1200.00,Engineering
2024-01-12,McKinsey,Consulting,48000.00,Finance
2024-01-15,ABM Industries,Facilities,9500.00,Operations
2024-01-19,Delta Airlines,Travel,3200.00,Sales
2024-01-22,Salesforce,Software Licenses,8500.00,Sales
2024-01-28,WeWork,Facilities,15000.00,Marketing
2024-02-03,AWS,Cloud Services,13100.00,Engineering
2024-02-07,Accenture,Consulting,42000.00,Finance
2024-02-10,ABM Industriess,Facilities,9800.00,Operations
2024-02-14,Marriott,Travel,2800.00,Sales
2024-02-18,Slack,Software Licenses,1200.00,Marketing
2024-02-22,McKinsey,Consulting,51000.00,Finance
2024-02-26,DigitalOcean,Cloud Services,4300.00,Engineering
2024-03-01,AWS,Cloud Services,14200.00,Engineering
2024-03-05,Salesforce,Software Licenses,8500.00,Sales
2024-03-09,Delta Airlines,Travel,4100.00,Sales
2024-03-12,ABM Industries,Facilities,10200.00,Operations
2024-03-16,WeWork,Facilities,15000.00,Marketing
2024-03-20,Accenture,Consulting,44500.00,Finance
2024-03-24,Slack,Software Licenses,1200.00,Engineering
2024-03-28,AWS,Cloud Services,15800.00,Engineering
2024-04-02,McKinsey,Consulting,49000.00,HR
2024-04-06,Marriott,Travel,3500.00,Marketing
2024-04-10,Salesforce,Software Licenses,8500.00,Sales
2024-04-14,ABM Industries,Facilities,9900.00,Operations
2024-04-18,AWS,Cloud Services,16500.00,Engineering
2024-04-22,WeWork,Facilities,15000.00,Marketing
2024-04-25,Accenture,Consulting,46000.00,Finance
2024-04-29,DigitalOcean,Cloud Services,4800.00,Engineering
